title,year,fuel,transmission,Registered In,Color,Assembly,Engine Capacity,Body Type,Last Updated,Ad Ref #,price,mileage,engine_capacity
Toyota Raize  2020 Z for Sale,2020,Petrol,Automatic,Un-Registered,Black Mica Metallic,Imported,1000 cc,Crossover,"Nov 20, 2025",10848041,6200000.0,48000,1000.0
Toyota Estima  2010 Hybrid for Sale,2010,Hybrid,Automatic,Sindh,Black,Imported,2400 cc,Mini Van,"Nov 20, 2025",10709875,4675000.0,90000,2400.0
Honda Vezel  2014 Hybrid X for Sale,2014,Hybrid,Automatic,Karachi,Black,Imported,1500 cc,Crossover,"Nov 20, 2025",10686699,3950000.0,79000,1500.0
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,2018,Petrol,Automatic,Sindh,Lunar Silver Metallic,Local,1800 cc,Sedan,"Nov 20, 2025",10795768,4650000.0,71000,1800.0
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,2022,Petrol,Automatic,Karachi,Black,Local,1800 cc,Sedan,"Nov 20, 2025",10847931,6600000.0,24000,1800.0
BMW 7 Series  2004 735i for Sale,2004,Petrol,Automatic,Un-Registered,White,Imported,3600 cc,Sedan,"Nov 20, 2025",10713522,3800000.0,100000,3600.0
Suzuki Swift  2015 DLX Automatic 1.3 for Sale,2015,Petrol,Automatic,Karachi,Maroon,Local,1300 cc,Hatchback,"Nov 20, 2025",10847934,2375000.0,111000,1300.0
Toyota Prado  2012 TX 2.7 for Sale,2012,Petrol,Automatic,Sindh,Super White,Imported,2700 cc,SUV,"Nov 20, 2025",10506892,1.0,125000,2700.0
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,2019,Petrol,Automatic,Karachi,Modern Steel Metallic,Local,1800 cc,Sedan,"Nov 20, 2025",10847905,5390000.0,50000,1800.0
Changan Oshan X7  2022 FutureSense for Sale,2022,Petrol,Automatic,Karachi,Stellar White,Local,1500 cc,Compact SUV,"Nov 20, 2025",10847898,7100000.0,22000,1500.0
Honda Civic Rebirth 2013 Oriel Prosmatec UG for Sale,2013,Petrol,Automatic,Karachi,Modern Steel Metallic,Local,1800 cc,Sedan,"Nov 20, 2025",10847848,3675000.0,71000,1800.0
Toyota Hiace  1994  for Sale,1994,Diesel,Manual,Karachi,White,Local,2800 cc,N/A,"Nov 20, 2025",10426441,3200000.0,100000,2800.0
Suzuki Wagon R  2018 VXL for Sale,2018,Petrol,Manual,Karachi,Graphite Grey,Local,1000 cc,Hatchback,"Nov 20, 2025",10848032,2095000.0,72000,1000.0
Suzuki Khyber  1998 Limited Edition for Sale,1998,Petrol,Manual,Karachi,White,Local,1000 cc,Hatchback,"Nov 20, 2025",10848030,315000.0,150008,1000.0
Suzuki Alto  2022 VXR for Sale,2022,Petrol,Manual,Karachi,Solid White,Local,660 cc,Hatchback,"Nov 20, 2025",10848016,2450000.0,55000,660.0
Suzuki Khyber  1992  for Sale,1992,LPG,Manual,Karachi,Silver,Imported,1000 cc,N/A,"Nov 20, 2025",10848014,270000.0,100000,1000.0
Daihatsu Mira  2013 G SA for Sale,2013,Petrol,Automatic,Sindh,Mica Black,Imported,660 cc,Hatchback,"Nov 20, 2025",10733774,2385000.0,87000,660.0
MG HS  2022 Trophy for Sale,2022,Petrol,Automatic,Karachi,York white,Local,1500 cc,Crossover,"Nov 20, 2025",10848008,6250000.0,35000,1500.0
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition for Sale,2022,Petrol,Automatic,Sindh,Silver,Local,1600 cc,Sedan,"Nov 20, 2025",10848005,6450000.0,10900,1600.0
Suzuki Cultus  2015 EURO II for Sale,2015,Petrol,Manual,Sindh,Pearl Red,Local,1000 cc,Hatchback,"Nov 20, 2025",10832974,1595000.0,59000,1000.0
Daihatsu Move  2015 L for Sale,2015,Petrol,Automatic,Sindh,Silver,Imported,660 cc,Hatchback,"Nov 20, 2025",10847966,2250000.0,75000,660.0
Suzuki Bolan  2014 VX Euro II for Sale,2014,Petrol,Manual,Karachi,Solid White,Local,800 cc,Van,"Nov 20, 2025",10847989,880000.0,50000,800.0
KIA Sportage  2021 AWD for Sale,2021,Petrol,Automatic,Karachi,White,Imported,2000 cc,Crossover,"Nov 20, 2025",10810981,6850000.0,49000,2000.0
Peugeot 2008  2023 Allure for Sale,2023,Petrol,Automatic,Karachi,White,Imported,1200 cc,Crossover,"Nov 20, 2025",10847972,6200000.0,55432,1200.0
